text,id,Brand
RT @mduggan10: Told the girls the next @dunkindonuts run is on me! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #BrewedForThis #Ad https://t.co/9zt5aRD4Sg,1,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,2,DunkinDonuts
@cheddar @KristenScholer @DunkinDonuts Happy Birthday @KristenScholer,3,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,4,DunkinDonuts
Shout out to @DunkinDonuts for the “bacon egg and cheese” lol https://t.co/keqzuMdliP,5,DunkinDonuts
@LVchrisbrooks @SteveYeagerNV @MickyWhiteNV Are those from @DunkinDonuts or @MarketBasket ?!,6,DunkinDonuts
"@DunkinDonuts had Almond Joy hot chocolate, and I think I'm in love.",7,DunkinDonuts
Get your sip on with @dunkindonuts Holiday Coffee or Latte Card!! Get 6 LG Hot Coffees or 5 Med… https://t.co/Now61um3hZ,8,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,9,DunkinDonuts
Hi @DunkinDonuts you may have missed it but my friend @briankearley is really sad about your taking the butternut c… https://t.co/iLg8Zkohay,10,DunkinDonuts
"Just tasted my tea and had a huge chunk of plastic in my mouth.
Then I opened my cup to find this....this is not ri… https://t.co/hppcHvSyNx",11,DunkinDonuts
@DunkinDonuts Tried to add money through the website but couldn't because there's no pin number for my card when lo… https://t.co/IGsDrJaa0Q,12,DunkinDonuts
RT @mduggan10: Told the girls the next @dunkindonuts run is on me! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #BrewedForThis #Ad https://t.co/9zt5aRD4Sg,13,DunkinDonuts
@TTLYTEALA @DunkinDonuts it's almost middle of the night in my country and I'm hungry now. I need some donuts!<ed><U+00A0><U+00BC><ed><U+00BD><U+00A9>,14,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,15,DunkinDonuts
RT @hsherman: How we roll in my America. #embracediversity #nyc @DunkinDonuts https://t.co/IycKbQvs6W,16,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,17,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,18,DunkinDonuts
@TTLYTEALA @DunkinDonuts you make me want it all the time,19,DunkinDonuts
@TTLYTEALA @DunkinDonuts love me too wtf,20,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,21,DunkinDonuts
@TTLYTEALA @DunkinDonuts Sameeee,22,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,23,DunkinDonuts
RT @TTLYTEALA: I’m so inlove with @DunkinDonuts LOVE ME BACK,24,DunkinDonuts
I’m so inlove with @DunkinDonuts LOVE ME BACK,25,DunkinDonuts
Had @Starbucks coffee for the first time today (black) and it IS all the hype. @DunkinDonuts your coffee is absolute sewer water,26,DunkinDonuts
RT @DunkinDonuts: Time to party! https://t.co/7iWJtiwL0s,27,DunkinDonuts
"I'm at @DunkinDonuts in Allentown, PA https://t.co/viu4kPl02n",28,DunkinDonuts
It was a long day fixing the fence outside. Very f*kn cold! Now inside watching #StarTrekTNG on @BBCAMERICA and enj… https://t.co/3HRrQV7EbI,29,DunkinDonuts
Told the girls the next @dunkindonuts run is on me! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #BrewedForThis #Ad https://t.co/9zt5aRD4Sg,30,DunkinDonuts
