text,retweet_count,favorited,retweeted,created_at,verified,location,description,user_created_at,statuses_count,followers_count,favourites_count,name,time_zone,friends_count,lat,lon,Brand
This was brutal to listen to on the radio this morning. https://t.co/pc9r2xswSb,0,FALSE,FALSE,Fri Dec 08 15:07:57 +0000 2017,FALSE,"Charleston, SC
",Lead Meteorologist at @NWSCharlestonSC and @NCState alumni. Duke and CrossFit enthusiast. Proudly @annamholloway's husband. Views and opinions here are my own.,Sun Feb 13 01:48:58 +0000 2011,13471,333,19203,Blair Holloway,Eastern Time (US & Canada),660,33.6311395,-80.926628,DunkinDonuts
Bill has been at rock star status this week cruising around and talking about our transition to Employee Ownership… https://t.co/Bso81P51xH,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,"Burlington, Vermont",100% employee and Vermont-owned. Brewing unfiltered ales and lagers since 2002. Must be 21+ to follow.,Mon Oct 07 17:30:12 +0000 2013,2964,5481,2395,Switchback Brewing,Atlantic Time (Canada),1172,44.4925995,-73.2257725,DunkinDonuts
Day 5 of Jelf On The Shelf <ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BD><ed><U+00BA><U+00BD> https://t.co/ZRh7Rn2P1s,0,FALSE,FALSE,Fri Dec 08 15:07:57 +0000 2017,TRUE,"Greenville, SC",The Saviors of Radio since 2003 93.3 The Planet @OhMaffew @Nueve @Fatboy933 @Paige933 @JeffLewisNeal P1's rule NnWo 4 Life #YeahTHATGreenville,Tue Feb 10 00:23:51 +0000 2009,8770,12968,4245,#TheRiseGuys,Eastern Time (US & Canada),731,34.826849,-82.293499,DunkinDonuts
my word bond as fuck,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,Sharks City,| MOE FOE | yedigggg | Dubs | UCSC | <ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> |,Sun May 21 14:40:32 +0000 2017,4191,126,6529,ghost,Pacific Time (US & Canada),119,37.331159,-121.8737305,DunkinDonuts
@idem7 the swag in this picture https://t.co/StPUazPP2o,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,New Orleans,"I love beer, sports, good friends, taking it easy and all that jazz.",Mon Jun 08 02:07:15 +0000 2009,15036,477,4002,Vincent Sbisa,Central Time (US & Canada),914,30.512967,-90.8653385,DunkinDonuts
"Snow is falling, winters’ calling.",0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,"Atlanta, GA",R&B • Dance • Soul,Sat Dec 20 18:12:29 +0000 2008,70529,1495,24364,RON,Quito,811,33.943457,-84.3524445,DunkinDonuts
App state has REALLY got it twisted making me walk to my exam in the snow,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,North Carolina ,Oprah wasn't built in a day|| App State <U+0394><U+0396>,Sat Feb 02 05:56:30 +0000 2013,17394,729,4120,Kyndall,NA,1061,36.215092,-81.657895,DunkinDonuts
nah slut call me august ames https://t.co/CUR8nMJFHr,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,"Edmond, Ok",these tweets gon fly regardless,Mon Dec 09 04:38:58 +0000 2013,87621,926,36491,OG,Pacific Time (US & Canada),470,35.3090465,-98.716992,DunkinDonuts
High key you https://t.co/eF8QBdjz1d,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,"Oklahoma City, OK",Christ Seeker | World Traveler | Sports Lover |,Fri Jun 17 07:13:26 +0000 2011,4220,498,455,Ashley Newey,Central Time (US & Canada),512,35.4828435,-97.552161,DunkinDonuts
I just hollered! https://t.co/kSJzLiMZQI,0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,2 Steps Ahead of You,I am trying to be the best ME I can be. Hakuna Matata.,Tue Aug 17 23:23:31 +0000 2010,24519,579,3723,A.Sweet,Central Time (US & Canada),471,36.200008,-86.791549,DunkinDonuts
