text,id,Brand
Probably the WORST experience I’ve had at a @Starbucks just happened. 6 workers and 20 minutes to get a black coffe… https://t.co/crNW6JGfUH,1,Starbucks
Our friends loss their son Lewis 1 year ago today. They asked us to do an act of kindness in his honor. I loaded $2… https://t.co/SB0DMHBiz5,2,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",3,Starbucks
"RT @DisneySprings: Need a caffeine boost? Try a limited time beverage from @Starbucks like the ""OB One Cannoli"" Frappucino or ""The Green Ma…",4,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",5,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",6,Starbucks
"@Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Ooh, Thank you for letting us know about the BEST DEAL!!<U+2615><U+FE0F><U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>
#Starbuck #GiveGood https://t.co/3",7,Starbucks
Thanks @Starbucks for my free birthday drink! That Eggnog Latte really hit the spot ;) #ChristmastimeBirthdays #Christmas,8,Starbucks
RT @MASERGY: .@Starbucks free #wifi caught secretly mining #cryptocurrency! https://t.co/KpDLAegof0 #Tech #Privacy https://t.co/RP5DOF5GRU,9,Starbucks
@Starbucks Did you ever make a South Carolina “you are here” mug?,10,Starbucks
When you mobile order for @Starbucks and barely even walk in to the store and your barista is handing you your drin… https://t.co/nls0eY2Vb8,11,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",12,Starbucks
@Starbucks Thanks to the Baristas at Renton Highlands Marketplace. #birthdaytreat #fabulouscrew #365Positive <U+2615><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/PyaypHvU5J,13,Starbucks
RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…,14,Starbucks
@BBeauchamp92 @Starbucks Oh girl I was! Haha,15,Starbucks
"RT @Starbucks: @bst_wrst_thng #whatsPetedrinking? We have some thoughts. 
<U+2705>Iced Coffee with Milk
<U+2705>Iced Caramel Macchiato
<U+2705>Vanilla Sweet Cre…",16,Starbucks
"RT @Starbucks: @___BeeRY Happy Holidays, Chicago! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>",17,Starbucks
@TheRichlatino @Starbucks Does everybody get one?,18,Starbucks
"RT @Starbucks: We'd gift-wrap this tweet...but we don't know how. Get 30% off holiday coffee &amp; gifts, now through 12/26. <ed><U+00A0><U+00BC><ed><U+00BE><U+0081> https://t.co/mss…",19,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",20,Starbucks
Apparently the @Starbucks I went to just now is already out of the salt <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,21,Starbucks
"RT @PeteHegseth: Forget @Starbucks, gimme Navy SEAL-owned @BattleCoffee! Great to have them on @foxandfriends this morning. Fantastic coffe…",22,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",23,Starbucks
RT @TheRichlatino: #GiveGood got my card. Thanks @Starbucks https://t.co/CpJzZ9bKRN,24,Starbucks
"ember: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans wit… https://t.co/dZ3KiwUh7w",25,Starbucks
RT @MASERGY: .@Starbucks free #wifi caught secretly mining #cryptocurrency! https://t.co/KpDLAegof0 #Tech #Privacy https://t.co/RP5DOF5GRU,26,Starbucks
Thank you @Starbucks for putting Braille on your gift cards! Hubby can read them too!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/2SLs8fSrME,27,Starbucks
"I'm at @Starbucks in Al Zour, Al Ahmadi https://t.co/lv4iniiejN",28,Starbucks
"I'm at @Starbucks in Al Zour, Al Ahmadi https://t.co/JaIlhtDOa3",29,Starbucks
Shitty bags mean having a shitty lunch. I paid $6 for a sandwich that falls out of a cheap ass bag. Thank you… https://t.co/hwQIyedN6V,30,Starbucks
RT @POPSUGARFitness: Thank you @Starbucks for feeding our obsession (and not expanding our waistlines) https://t.co/21ajrafItZ,31,Starbucks
@Starbucks thanks for your shitty bags and ruining my lunch https://t.co/eBgz7XFX0I,32,Starbucks
"@FoxBusiness @houseintelcomm ercial silver dollar #forku #Science i,,took from i,,crack in @sec and?no consequence… https://t.co/GArh4LqdIy",33,Starbucks
"@Starbucks just been to your dunedin shop on George street. Good coffee, crap toilet paper #nopunintended",34,Starbucks
@queenloves1 @Starbucks Up by the beam,35,Starbucks
"RT @Starbucks: We'd gift-wrap this tweet...but we don't know how. Get 30% off holiday coffee &amp; gifts, now through 12/26. <ed><U+00A0><U+00BC><ed><U+00BE><U+0081> https://t.co/mss…",36,Starbucks
"RT @DisneySprings: Need a caffeine boost? Try a limited time beverage from @Starbucks like the ""OB One Cannoli"" Frappucino or ""The Green Ma…",37,Starbucks
I JUST FOUND OUT @starbucks HAS COCONUT MILK #nodairy #nocaffeine #stillneedcoffee @ Barnes &amp; Noble https://t.co/ycxscVFM90,38,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",39,Starbucks
RT @RebekahVardy: Oh how I’ve missed @Starbucks en route London for @loosewomen <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+2744><U+FE0F> https://t.co/ufxsgXqAIQ,40,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fan… https://t.co/6FxPXYRxYY",41,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",42,Starbucks
Thank you @Starbucks for feeding our obsession (and not expanding our waistlines) https://t.co/21ajrafItZ,43,Starbucks
RT @SBellasWays: We are leaving $5 @Starbucks give cards at @ChargePointnet stations between LA and San Francisco. So if you see one in you…,44,Starbucks
@Starbucks This is awesome!,45,Starbucks
"I'm at @Starbucks in Dammam, Ash Sharqiyah https://t.co/PA0hFhnSmM",46,Starbucks
Hey @Starbucks where's the buy 5 get 1 free sticker booklets? Is it even Christmas without them??,47,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",48,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fan… https://t.co/j8N0VSkNI0",49,Starbucks
@Lyssuhlew @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> that workout was hard doe #bbg,50,Starbucks
"RT @Starbucks: @DivaaaLisaaa We're glad you can make that exception for us, Lisa! <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>",51,Starbucks
@Starbucks Love Ellensburg Washington Starbucks employees! Store number 3227!!!!,52,Starbucks
"RT @Starbucks: @bst_wrst_thng #whatsPetedrinking? We have some thoughts. 
<U+2705>Iced Coffee with Milk
<U+2705>Iced Caramel Macchiato
<U+2705>Vanilla Sweet Cre…",53,Starbucks
"How is it possible that I can go into a @Starbucks and order a tall coffee, and the barrista says to me, ""Carmel ma… https://t.co/EAb7PECAtY",54,Starbucks
"@starbucks why did you replace the Lemon Chiffon yogurt with the Lemon Crunch Parfait? Less lemon smoothness, boo!",55,Starbucks
"@starbucks the downtown silver spring, md location has been w/o agave since Nov 27 maybe longer. Don’t understand w… https://t.co/i0l3RHpRiI",56,Starbucks
"Oh my god, @Starbucks. https://t.co/UGAwnhIQQw",57,Starbucks
@Starbucks This is how we gingerbread each year! https://t.co/yPJ8qotFuE,58,Starbucks
