text,retweet_count,favorited,retweeted,created_at,verified,location,description,user_created_at,statuses_count,followers_count,favourites_count,name,time_zone,friends_count,lat,lon,Brand
Just want to take the time to say Neil Young was right. (Southern man),0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"Pennsylvania, Allentown","Yea's-family,love,laughter,workers, politics of equality,reading,knowledge. NYC sports.  Nay's-religion,hate,bosses,fear,politics of inequality,ignorance.",Thu Feb 26 02:01:36 +0000 2009,1166,166,1188,Frank Scott,America/New_York,850,40.591825,-75.4839355,Starbucks
Here is another video I'm making and soon i will be doing a YouTube channel w my weekly training… https://t.co/Ho2MhySkFX,0,FALSE,FALSE,Fri Dec 08 15:05:37 +0000 2017,FALSE,"Rio de Janeiro, Brasil",Lutador brasileiro de MMA. CARTEL: 6-0 MMA PRO fighter Currently 6-0 RKT/Blackzilians,Fri May 04 22:09:51 +0000 2012,2464,451,1233,Caio Uruguai,Brasilia,384,26.3739755,-80.134986,Starbucks
“ Jessssssi come to the mf football field we’re having a mf snowball fight and Charles almost pissed his mf paaants “ <ed><U+00A0><U+00BD><ed><U+00B2><U+0080>,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"San Antonio, TX",Jonah 2:2,Fri Dec 19 02:37:02 +0000 2014,19801,479,10385,jess,NA,565,29.417501,-98.5406515,Starbucks
I didn’t @ you bc I knew it would be more name calling as usual https://t.co/Ey4pzZ0Sdl,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"St Paul, MN",Competitive Fighting Gamer | Business Inquires zen2remember@gmail.com | Freelance Photographer,Fri Mar 22 03:05:59 +0000 2013,1660,380,4391,Westside,Pacific Time (US & Canada),84,46.4418605,-93.3613205,Starbucks
i<U+FE0F> ran biscuit off the campus,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,13th & New Orleans ,Kenneth Durousseau Jr - <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0> - RIP @MrOriginal6HO - Ace Tre 4 L,Tue Jun 02 16:02:49 +0000 2015,89507,741,1281,Mitch D.,NA,211,29.9015445,-93.9559185,Starbucks
Jadakiss’ verse on the F vs. J Intro &gt;&gt;&gt;&gt;,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"Richmond, VA",Adele wrote all her songs about me. CNU Alum. Former Division III Footballer. Football is my drug. @Young_Old_Heads podcast aficionado.,Thu Jul 31 11:59:53 +0000 2008,44906,425,54227,Ok. Now you can play Christmas music.,Central Time (US & Canada),296,37.529883,-77.4931705,Starbucks
Had a great night sleep,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,NY,NA,Tue Aug 25 16:46:25 +0000 2009,21576,689,1547,Amber Michelle,Central Time (US & Canada),442,40.780709,-73.9685415,Starbucks
I just chocked on live radio <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+0083><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,NA,"Pain is temporary,Pride is forever<U+2165><U+2165><U+2165>",Mon Nov 05 01:13:03 +0000 2012,8859,206,2196,Bvphometh,NA,160,33.9536335,-118.3461525,Starbucks
@MJ_Baumann Seems like taking him out of the vending machine before putting him in goal was a mistake!,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,DC,"Will write soccer for money. Half of @doublepivotpod. Previously @ESPNInsider, @ESPNFC. Grantland (RIP). Views are mine. NERD WARNING",Sun May 23 13:56:01 +0000 2010,69435,14705,20859,Mike L. Goodman,Eastern Time (US & Canada),872,38.898603,-77.0143985,Starbucks
Lmao I be listen to this klan videos then I accidentally start to ignore it,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,NA,you got some time I can borrow ?,Fri Mar 11 01:07:58 +0000 2011,103890,809,262,Battosai,Eastern Time (US & Canada),411,37.4009555,-79.179013,Starbucks
No Sharks here,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,Midnight Train to Georgia,NA,Tue Dec 08 04:14:39 +0000 2015,35025,656,28345,NilkaNiaSelenaNickiMia,Pacific Time (US & Canada),3230,35.3469015,-119.025163,Starbucks
@monithegreatest I don’t even fuck with you like that,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,The Hidden Sauce Village,College dropout but Kanye West is my role model so my life is on track...,Mon Jul 05 19:47:00 +0000 2010,257229,2059,960,Tresiah,Eastern Time (US & Canada),937,32.7641555,-97.424572,Starbucks
"Join the Starbucks team! See our latest #job opening here: https://t.co/0AoiLECoGH #CustomerService #Miami, FL #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"Miami, FL","Follow this account for geo-targeted Customer Service job tweets in Miami, FL. Need help? Tweet us at @CareerArc!",Sun Sep 06 03:41:01 +0000 2009,358,365,0,TMJ-MIA CstSrv Jobs,Eastern Time (US & Canada),280,25.7823535,-80.2333285,Starbucks
"My sweet student brought in a stellar project for his family history assignment!  Way to be awesome, Braydin! https://t.co/vY5p3MU6kU",0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"kingwood, tx",just me living and loving life! teaching young minds to make educated leaders!,Tue May 21 03:14:03 +0000 2013,273,195,105,Sheila Flynn,NA,1037,31.1688935,-100.0768885,Starbucks
"Chemistry is stressing me out so bad rn that I didn’t even find this funny, when normally I would https://t.co/5nzeznSpQp",0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"Mount Gilead, OH","The University of Findlay, physical therapy <ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2695><U+FE0F> ABF <U+2763><U+FE0F>",Mon Aug 11 01:29:56 +0000 2014,2602,469,22640,Alyyy,Pacific Time (US & Canada),287,41.0550135,-83.6339035,Starbucks
Lmao pledges https://t.co/tzqxYEr9Xo,0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,Cstat,"""Wolves don't lose sleep over the opinion of sheep""",Wed Jun 10 15:28:07 +0000 2015,19170,711,6260,Vic,NA,515,29.838495,-95.4464865,Starbucks
"This is the saddest day of my life, I no longer have Paul Martin <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"West Virginia, USA",Soccer #17 | Jesus is my savior | SVHS | Greensboro College Women's Soccer Commit,Mon May 12 22:48:36 +0000 2014,7206,699,14097,Kate Auvil ¤,NA,752,38.9201425,-80.1818345,Starbucks
"good luck to my bestest friends at state today !!!!! Can’t wait to watch you guys today, I love you all and you wil… https://t.co/KEHMMKMZ8H",0,FALSE,FALSE,Fri Dec 08 15:05:38 +0000 2017,FALSE,"Parker, CO",younge thug,Fri Mar 21 17:48:45 +0000 2014,571,778,10516,riley younge,Mountain Time (US & Canada),660,39.523531,-104.7608605,Starbucks
@jesss_shmesssx3 For real lol,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Scranton, PA",#PRINCESS ; I have a bad valley accent.    Snapchat : kristifbaby <U+2765>,Tue Jun 01 03:30:51 +0000 2010,20234,352,2343,Kristi Shertza™,Pacific Time (US & Canada),1106,41.1179365,-77.604684,Starbucks
Just wanted to wish to my Twitter friends n others a great weekend. Seeking friends to help me get more popular ove… https://t.co/FnXib3aK2p,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"North Fort Myers, FL","Love be transgender. Love shareing, exposing the sexual female side of me to all. Love being in front of a camera. Enjoy doing live broadcasting .",Fri Dec 01 19:22:37 +0000 2017,16,0,0,David S. Heier,NA,23,26.7113775,-81.85075,Starbucks
Can you recommend anyone for this #job? Medicaid Provider Network Manager - https://t.co/fjyO2QJ94B #Healthcare… https://t.co/EUs7e36ver,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Springfield, IL","Follow this account for geo-targeted Healthcare job tweets in Springfield, IL. Need help? Tweet us at @CareerArc!",Sun Mar 07 03:23:35 +0000 2010,61,417,0,TMJ-ILS Health Jobs,Quito,283,39.7360275,-90.2320415,Starbucks
"We're #hiring! Read about our latest #job opening here: Assistant Manager - Longview, TX - https://t.co/kn6uK0GnhO #Retail #LasVegas, NV",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,NA,"Citi Trends has Sales Associate Jobs, Store Manager Jobs, Distribution center Jobs and other great career opportunities.",Wed Mar 31 15:16:10 +0000 2010,12439,1764,0,Citi Trends Jobs,Eastern Time (US & Canada),1879,36.232915,-115.223125,Starbucks
@DDRod Welcome back!  We are all still here somehow,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,NA,The next brofest will be in the future...when there are flying cars and whatnot.,Thu Sep 17 13:10:07 +0000 2009,159853,702,28866,Heath Matthias,Eastern Time (US & Canada),308,39.9632495,-86.1324485,Starbucks
Back to not giving a flying fuuuuck,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,NA,NA,Tue Jul 05 16:57:25 +0000 2016,4261,159,1139,isaac,NA,131,41.668286,-70.938921,Starbucks
Trump is campaigning for this Guy today. https://t.co/QgJnqaB8bn,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,TRUE,New York,"@NYTSports & @SNYtv

'I got buddies up White House Road
And they keep me strutting when my feet hang low;
https://vsporto.com/show/the-4-quarters-podcast/",Thu Jun 18 03:08:50 +0000 2009,126892,47267,5745,Adam Zagoria,Quito,2559,40.780709,-73.9685415,Starbucks
"We're #hiring! Click to apply: Team CDL A Owner Operator, Drop &amp; Hook - https://t.co/rAKhOSHDDr #Transportation… https://t.co/hav2rilemt",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Cincinnati, OH","Follow this account for geo-targeted Transportation job tweets in Cincinnati, OH. Need help? Tweet us at @CareerArc!",Mon Mar 09 21:24:21 +0000 2009,419,348,0,TMJ-CIN Transp. Jobs,Eastern Time (US & Canada),291,39.4040615,-84.560904,Starbucks
@nicknprince @fuckeveryword @TheBoozeCube @laurenduca @POTAGAMES @pota_oakland @nihilist_arbys It is pretty great!,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Pittsburgh, Pennsylvania",I don't understand the question and I won't respond to it. I'm Tiny Rick!,Mon Jan 11 18:32:43 +0000 2010,65450,431,129,Ian Lauer,Eastern Time (US & Canada),2115,40.431389,-79.9806895,Starbucks
Just when I needed to be reminded kindness and compassion still exist. Thank you to this kind soul. https://t.co/1sXngoWEMe,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Carlsbad, CA","Proud wife of combat veteran retired Marine @Scott_2519, Mother and Oma. Masters in Nonprofit Leadership & Management from @Uofsandiego b/c I LOVE wrkng w/NPs",Fri Feb 17 02:31:16 +0000 2017,1080,67,2623,Julia Hill,NA,425,38.561722,-121.469664,Starbucks
Got all the bills out the way ... now it’s Christmas shopping time <ed><U+00A0><U+00BE><ed><U+00B4><U+00B8><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2640><U+FE0F><U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+009D>,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Columbus, OH",Mylee <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+009B>,Wed Nov 26 13:50:13 +0000 2014,47828,2145,823,Nelle <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>,Eastern Time (US & Canada),1196,40.0408125,-83.1433925,Starbucks
