"id","sentiment_score","brand"
1,-3,"Starbucks"
2,-0.5,"Starbucks"
3,0,"Starbucks"
4,0,"Starbucks"
5,0,"Starbucks"
6,0,"Starbucks"
8,1,"Starbucks"
9,1,"Starbucks"
12,0,"Starbucks"
14,-1,"Starbucks"
15,3,"Starbucks"
16,2,"Starbucks"
17,3,"Starbucks"
19,2,"Starbucks"
20,0,"Starbucks"
22,1.5,"Starbucks"
23,0.666666666666667,"Starbucks"
25,0,"Starbucks"
26,1,"Starbucks"
27,2,"Starbucks"
30,-3.33333333333333,"Starbucks"
32,-2.5,"Starbucks"
34,-3,"Starbucks"
36,2,"Starbucks"
37,0,"Starbucks"
38,2,"Starbucks"
39,0.666666666666667,"Starbucks"
40,-2,"Starbucks"
41,1,"Starbucks"
42,0.666666666666667,"Starbucks"
45,4,"Starbucks"
47,1,"Starbucks"
48,0.666666666666667,"Starbucks"
49,1,"Starbucks"
50,-1,"Starbucks"
51,3,"Starbucks"
52,3,"Starbucks"
53,2,"Starbucks"
57,1,"Starbucks"
60,-4,"Starbucks"
61,1,"Starbucks"
62,0,"Starbucks"
64,0,"Starbucks"
65,2,"Starbucks"
66,0.666666666666667,"Starbucks"
68,-3,"Starbucks"
69,-1,"Starbucks"
70,2.5,"Starbucks"
72,1.5,"Starbucks"
73,0,"Starbucks"
74,1.5,"Starbucks"
75,1,"Starbucks"
76,0,"Starbucks"
77,1,"Starbucks"
78,0,"Starbucks"
80,0,"Starbucks"
81,0,"Starbucks"
82,0.666666666666667,"Starbucks"
85,0,"Starbucks"
86,4,"Starbucks"
87,0.666666666666667,"Starbucks"
88,-3,"Starbucks"
89,0,"Starbucks"
90,2,"Starbucks"
91,2,"Starbucks"
93,0,"Starbucks"
94,1,"Starbucks"
95,0,"Starbucks"
96,0,"Starbucks"
97,0,"Starbucks"
99,0,"Starbucks"
100,0,"Starbucks"
101,0,"Starbucks"
103,0,"Starbucks"
104,3,"Starbucks"
105,0,"Starbucks"
106,1,"Starbucks"
107,2,"Starbucks"
110,4,"Starbucks"
111,4,"Starbucks"
112,2.5,"Starbucks"
113,0,"Starbucks"
115,-1,"Starbucks"
116,1.5,"Starbucks"
117,4,"Starbucks"
119,2,"Starbucks"
121,2.33333333333333,"Starbucks"
122,2,"Starbucks"
124,2,"Starbucks"
125,-1,"Starbucks"
126,-1.5,"Starbucks"
127,3,"Starbucks"
128,-2,"Starbucks"
130,-3,"Starbucks"
131,3,"Starbucks"
133,2.33333333333333,"Starbucks"
137,1.5,"Starbucks"
