"word","n","Brand"
"coffee",123,"DunkinDonuts"
"day",53,"DunkinDonuts"
"hot",53,"DunkinDonuts"
"time",44,"DunkinDonuts"
"amp",42,"DunkinDonuts"
"chocolate",41,"DunkinDonuts"
"morning",40,"DunkinDonuts"
"iced",39,"DunkinDonuts"
"love",39,"DunkinDonuts"
"happy",27,"DunkinDonuts"
"party",25,"DunkinDonuts"
"dd",24,"DunkinDonuts"
"tree",24,"DunkinDonuts"
"hey",23,"DunkinDonuts"
"magical",23,"DunkinDonuts"
"stacked",23,"DunkinDonuts"
"son",22,"DunkinDonuts"
"beat",21,"DunkinDonuts"
"latte",21,"DunkinDonuts"
"store",21,"DunkinDonuts"
"app",20,"DunkinDonuts"
"bagel",20,"DunkinDonuts"
"free",20,"DunkinDonuts"
"wawa",20,"DunkinDonuts"
"card",19,"DunkinDonuts"
"cheese",19,"DunkinDonuts"
"donut",19,"DunkinDonuts"
"week",18,"DunkinDonuts"
"cold",17,"DunkinDonuts"
"holiday",17,"DunkinDonuts"
"location",17,"DunkinDonuts"
"mocha",17,"DunkinDonuts"
"bring",16,"DunkinDonuts"
"peppermint",16,"DunkinDonuts"
"vanilla",16,"DunkinDonuts"
"birthday",15,"DunkinDonuts"
"cream",15,"DunkinDonuts"
"cup",15,"DunkinDonuts"
"gift",15,"DunkinDonuts"
"gonna",15,"DunkinDonuts"
"joy",15,"DunkinDonuts"
"minutes",15,"DunkinDonuts"
"swirl",15,"DunkinDonuts"
"kkimthai",14,"DunkinDonuts"
"run",14,"DunkinDonuts"
"tea",14,"DunkinDonuts"
"win",14,"DunkinDonuts"
"breakfast",13,"DunkinDonuts"
"browns",13,"DunkinDonuts"
"drive",13,"DunkinDonuts"
"hash",13,"DunkinDonuts"
"home",13,"DunkinDonuts"
"service",13,"DunkinDonuts"
"theclubmomteam",13,"DunkinDonuts"
"ttlyteala",13,"DunkinDonuts"
"brought",12,"DunkinDonuts"
"guys",12,"DunkinDonuts"
"ma",12,"DunkinDonuts"
"people",12,"DunkinDonuts"
"sugar",12,"DunkinDonuts"
"ad",11,"DunkinDonuts"
"black",11,"DunkinDonuts"
"chance",11,"DunkinDonuts"
"christmas",11,"DunkinDonuts"
"coming",11,"DunkinDonuts"
"customer",11,"DunkinDonuts"
"downtown",11,"DunkinDonuts"
"dunkinholiday",11,"DunkinDonuts"
"french",11,"DunkinDonuts"
"cups",10,"DunkinDonuts"
"delicious",10,"DunkinDonuts"
"flavor",10,"DunkinDonuts"
"friday",10,"DunkinDonuts"
"grand",10,"DunkinDonuts"
"guess",10,"DunkinDonuts"
"holidays",10,"DunkinDonuts"
"inlove",10,"DunkinDonuts"
"office",10,"DunkinDonuts"
"world",10,"DunkinDonuts"
"bacon",9,"DunkinDonuts"
"broken",9,"DunkinDonuts"
"coffees",9,"DunkinDonuts"
"eat",9,"DunkinDonuts"
"egg",9,"DunkinDonuts"
"extra",9,"DunkinDonuts"
"food",9,"DunkinDonuts"
"gooood",9,"DunkinDonuts"
"ice",9,"DunkinDonuts"
"krispykreme",9,"DunkinDonuts"
"lol",9,"DunkinDonuts"
"nj",9,"DunkinDonuts"
"tuesday",9,"DunkinDonuts"
"wrong",9,"DunkinDonuts"
"america",8,"DunkinDonuts"
"arrow",8,"DunkinDonuts"
"butter",8,"DunkinDonuts"
"drink",8,"DunkinDonuts"
"favorite",8,"DunkinDonuts"
"feel",8,"DunkinDonuts"
"finals",8,"DunkinDonuts"
"fl",8,"DunkinDonuts"
"hold",8,"DunkinDonuts"
"kristenscholer",8,"DunkinDonuts"
"life",8,"DunkinDonuts"
"munchkins",8,"DunkinDonuts"
"ny",8,"DunkinDonuts"
"roll",8,"DunkinDonuts"
"wait",8,"DunkinDonuts"
"window",8,"DunkinDonuts"
"almond",7,"DunkinDonuts"
"anymore",7,"DunkinDonuts"
"ass",7,"DunkinDonuts"
"awesome",7,"DunkinDonuts"
"bad",7,"DunkinDonuts"
"bagels",7,"DunkinDonuts"
"brewedforthis",7,"DunkinDonuts"
"brings",7,"DunkinDonuts"
"brown",7,"DunkinDonuts"
"damn",7,"DunkinDonuts"
"days",7,"DunkinDonuts"
"ddcincy",7,"DunkinDonuts"
"dec",7,"DunkinDonuts"
"dunkincincy",7,"DunkinDonuts"
"dunkintn",7,"DunkinDonuts"
"elf",7,"DunkinDonuts"
"jlangwood",7,"DunkinDonuts"
"lens",7,"DunkinDonuts"
"literally",7,"DunkinDonuts"
"logcvxgkda",7,"DunkinDonuts"
"markeux",7,"DunkinDonuts"
"medium",7,"DunkinDonuts"
"newsnatasha",7,"DunkinDonuts"
"pa",7,"DunkinDonuts"
"paid",7,"DunkinDonuts"
"sad",7,"DunkinDonuts"
"snap",7,"DunkinDonuts"
"st",7,"DunkinDonuts"
"stop",7,"DunkinDonuts"
"titans",7,"DunkinDonuts"
"unlock",7,"DunkinDonuts"
"waiting",7,"DunkinDonuts"
"ave",6,"DunkinDonuts"
"boston",6,"DunkinDonuts"
"caramel",6,"DunkinDonuts"
"cheddar",6,"DunkinDonuts"
"chicago",6,"DunkinDonuts"
"cinnamon",6,"DunkinDonuts"
"correct",6,"DunkinDonuts"
"didignatek",6,"DunkinDonuts"
"drinking",6,"DunkinDonuts"
"drinks",6,"DunkinDonuts"
"dunkaccino",6,"DunkinDonuts"
"elilipshitz",6,"DunkinDonuts"
"embracediversity",6,"DunkinDonuts"
"employees",6,"DunkinDonuts"
"fisesp",6,"DunkinDonuts"
"forgot",6,"DunkinDonuts"
"friends",6,"DunkinDonuts"
"fucking",6,"DunkinDonuts"
"hour",6,"DunkinDonuts"
"il",6,"DunkinDonuts"
"inside",6,"DunkinDonuts"
"israelinbrazil",6,"DunkinDonuts"
"israelinspaulo",6,"DunkinDonuts"
"jelly",6,"DunkinDonuts"
"lattes",6,"DunkinDonuts"
"listen",6,"DunkinDonuts"
"local",6,"DunkinDonuts"
"milk",6,"DunkinDonuts"
"mom",6,"DunkinDonuts"
"nyc",6,"DunkinDonuts"
"omg",6,"DunkinDonuts"
"pay",6,"DunkinDonuts"
"person",6,"DunkinDonuts"
"running",6,"DunkinDonuts"
"senatorrounds",6,"DunkinDonuts"
"senwarren",6,"DunkinDonuts"
"shit",6,"DunkinDonuts"
"signrs",6,"DunkinDonuts"
"solicited",6,"DunkinDonuts"
"students",6,"DunkinDonuts"
"sweet",6,"DunkinDonuts"
"taking",6,"DunkinDonuts"
"taste",6,"DunkinDonuts"
"tatianarafter",6,"DunkinDonuts"
"times",6,"DunkinDonuts"
"white",6,"DunkinDonuts"
"aaronemyers",5,"DunkinDonuts"
"bringing",5,"DunkinDonuts"
"call",5,"DunkinDonuts"
"caller",5,"DunkinDonuts"
"cle",5,"DunkinDonuts"
"close",5,"DunkinDonuts"
"colleen",5,"DunkinDonuts"
"cookie",5,"DunkinDonuts"
"cute",5,"DunkinDonuts"
"ddinct",5,"DunkinDonuts"
"ddlife",5,"DunkinDonuts"
"dm",5,"DunkinDonuts"
"doughnuts",5,"DunkinDonuts"
"email",5,"DunkinDonuts"
"epic",5,"DunkinDonuts"
"finished",5,"DunkinDonuts"
"fun",5,"DunkinDonuts"
"game",5,"DunkinDonuts"
"girl",5,"DunkinDonuts"
"guy",5,"DunkinDonuts"
"hsherman",5,"DunkinDonuts"
"im",5,"DunkinDonuts"
"ironically",5,"DunkinDonuts"
"jan",5,"DunkinDonuts"
"joined",5,"DunkinDonuts"
"kinda",5,"DunkinDonuts"
"mcdonalds",5,"DunkinDonuts"
"mouth",5,"DunkinDonuts"
"night",5,"DunkinDonuts"
"plz",5,"DunkinDonuts"
"policeman",5,"DunkinDonuts"
"received",5,"DunkinDonuts"
"rejoice",5,"DunkinDonuts"
"rockwell",5,"DunkinDonuts"
"runs",5,"DunkinDonuts"
"season",5,"DunkinDonuts"
"start",5,"DunkinDonuts"
"support",5,"DunkinDonuts"
"titanup",5,"DunkinDonuts"
"told",5,"DunkinDonuts"
"video",5,"DunkinDonuts"
"watching",5,"DunkinDonuts"
"worst",5,"DunkinDonuts"
"yo",5,"DunkinDonuts"
"asasohio",4,"DunkinDonuts"
"awful",4,"DunkinDonuts"
"beats",4,"DunkinDonuts"
"bipartisan",4,"DunkinDonuts"
"brand",4,"DunkinDonuts"
"burnt",4,"DunkinDonuts"
"center",4,"DunkinDonuts"
"check",4,"DunkinDonuts"
"cheer",4,"DunkinDonuts"
"chicagobears",4,"DunkinDonuts"
"city",4,"DunkinDonuts"
"croissant",4,"DunkinDonuts"
"dark",4,"DunkinDonuts"
"dear",4,"DunkinDonuts"
"desk",4,"DunkinDonuts"
"disappointed",4,"DunkinDonuts"
"dog",4,"DunkinDonuts"
"dont",4,"DunkinDonuts"
"eating",4,"DunkinDonuts"
"emails",4,"DunkinDonuts"
"exchange",4,"DunkinDonuts"
"excited",4,"DunkinDonuts"
"experience",4,"DunkinDonuts"
"fave",4,"DunkinDonuts"
"flavors",4,"DunkinDonuts"
"foxsportsoh",4,"DunkinDonuts"
"fresh",4,"DunkinDonuts"
"friend",4,"DunkinDonuts"
"front",4,"DunkinDonuts"
"fuck",4,"DunkinDonuts"
"grab",4,"DunkinDonuts"
"hate",4,"DunkinDonuts"
"jayhowen",4,"DunkinDonuts"
"kjj",4,"DunkinDonuts"
"masterpass",4,"DunkinDonuts"
"media",4,"DunkinDonuts"
"minute",4,"DunkinDonuts"
"mobile",4,"DunkinDonuts"
"money",4,"DunkinDonuts"
"nadinevaladez",4,"DunkinDonuts"
"nice",4,"DunkinDonuts"
"njzwkstqwy",4,"DunkinDonuts"
"nwhl",4,"DunkinDonuts"
"oreo",4,"DunkinDonuts"
"pad",4,"DunkinDonuts"
"pecan",4,"DunkinDonuts"
"perfect",4,"DunkinDonuts"
"pick",4,"DunkinDonuts"
"poinsettia",4,"DunkinDonuts"
"price",4,"DunkinDonuts"
"question",4,"DunkinDonuts"
"reason",4,"DunkinDonuts"
"rid",4,"DunkinDonuts"
"ridge",4,"DunkinDonuts"
"salted",4,"DunkinDonuts"
"sandwiches",4,"DunkinDonuts"
"secretsanta",4,"DunkinDonuts"
"semester",4,"DunkinDonuts"
"shop",4,"DunkinDonuts"
"sip",4,"DunkinDonuts"
"sipping",4,"DunkinDonuts"
"snow",4,"DunkinDonuts"
"special",4,"DunkinDonuts"
"staff",4,"DunkinDonuts"
"sucks",4,"DunkinDonuts"
"titanupthursday",4,"DunkinDonuts"
"tleogallagher",4,"DunkinDonuts"
"tonight",4,"DunkinDonuts"
"town",4,"DunkinDonuts"
"turkey",4,"DunkinDonuts"
"ubereats",4,"DunkinDonuts"
"wanna",4,"DunkinDonuts"
"water",4,"DunkinDonuts"
"weekend",4,"DunkinDonuts"
"word",4,"DunkinDonuts"
"worry",4,"DunkinDonuts"
"yeah",4,"DunkinDonuts"
"absolute",3,"DunkinDonuts"
"accidentally",3,"DunkinDonuts"
"account",3,"DunkinDonuts"
"add",3,"DunkinDonuts"
"airport",3,"DunkinDonuts"
"al",3,"DunkinDonuts"
"beautiful",3,"DunkinDonuts"
"blueberry",3,"DunkinDonuts"
"bottom",3,"DunkinDonuts"
"brew",3,"DunkinDonuts"
"briankearley",3,"DunkinDonuts"
"buy",3,"DunkinDonuts"
"buying",3,"DunkinDonuts"
"called",3,"DunkinDonuts"
"calorie",3,"DunkinDonuts"
"car",3,"DunkinDonuts"
"celebrate",3,"DunkinDonuts"
"charge",3,"DunkinDonuts"
"charging",3,"DunkinDonuts"
"chicken",3,"DunkinDonuts"
"children's",3,"DunkinDonuts"
"cocoa",3,"DunkinDonuts"
"college",3,"DunkinDonuts"
"colors",3,"DunkinDonuts"
"cornerpubron",3,"DunkinDonuts"
"couchmendbc",3,"DunkinDonuts"
"customers",3,"DunkinDonuts"
"date",3,"DunkinDonuts"
"deal",3,"DunkinDonuts"
"decaf",3,"DunkinDonuts"
"december",3,"DunkinDonuts"
"decided",3,"DunkinDonuts"
"deliver",3,"DunkinDonuts"
